Entry	Entry Name	Protein names	Gene Names	Organism	Length	Keywords
A1UI88	TRPD_MYCSK	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD Mkms_3352	Mycobacterium sp. (strain KMS)	357	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Transferase;Tryptophan biosynthesis
A1UW99	TRPD_BURMS	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD BMASAVP1_0646	Burkholderia mallei (strain SAVP1)	343	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Transferase;Tryptophan biosynthesis
A1UZL8	APT_BURMS	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt BMASAVP1_A0069	Burkholderia mallei (strain SAVP1)	206	Cytoplasm;Glycosyltransferase;Purine salvage;Transferase
A1V555	LPXB_BURMS	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB BMASAVP1_A2042	Burkholderia mallei (strain SAVP1)	388	Glycosyltransferase;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Transferase
A1V8G8	HIS1_BURMS	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG BMASAVP1_A3238	Burkholderia mallei (strain SAVP1)	218	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Transferase
A1V9L9	COBT_NITV4	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)	cobT Dvul_0111	Nitratidesulfovibrio vulgaris (strain DP4) (Desulfovibrio vulgaris)	357	Cobalamin biosynthesis;Glycosyltransferase;Transferase
A1VC53	GLGA_NITV4	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA Dvul_0998	Nitratidesulfovibrio vulgaris (strain DP4) (Desulfovibrio vulgaris)	489	Glycogen biosynthesis;Glycosyltransferase;Transferase
A1VHE4	HIS1_NITV4	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG Dvul_2849	Nitratidesulfovibrio vulgaris (strain DP4) (Desulfovibrio vulgaris)	293	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Magnesium;Metal-binding;Nucleotide-binding;Transferase
A1VK36	HIS1_POLNA	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG Pnap_0695	Polaromonas naphthalenivorans (strain CJ2)	217	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Reference proteome;Transferase
A1VL96	GLGA_POLNA	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA Pnap_1107	Polaromonas naphthalenivorans (strain CJ2)	494	Glycogen biosynthesis;Glycosyltransferase;Reference proteome;Transferase
A1VXV5	PYRE_CAMJJ	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE CJJ81176_0258	Campylobacter jejuni subsp. jejuni serotype O:23/36 (strain 81-176)	202	Glycosyltransferase;Magnesium;Pyrimidine biosynthesis;Transferase
A1W1J9	HIS1_CAMJJ	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG CJJ81176_1584	Campylobacter jejuni subsp. jejuni serotype O:23/36 (strain 81-176)	299	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Magnesium;Metal-binding;Nucleotide-binding;Transferase
A1W2Z7	TRPD_ACISJ	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD Ajs_0369	Acidovorax sp. (strain JS42)	344	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Transferase;Tryptophan biosynthesis
A1W428	HIS1_ACISJ	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG Ajs_0759	Acidovorax sp. (strain JS42)	216	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Transferase
A1W631	TYPH1_ACISJ	Putative thymidine phosphorylase 1 (EC 2.4.2.4) (TdRPase 1)	Ajs_1507	Acidovorax sp. (strain JS42)	511	Glycosyltransferase;Transferase
A1W9B0	TYPH2_ACISJ	Putative thymidine phosphorylase 2 (EC 2.4.2.4) (TdRPase 2)	Ajs_2690	Acidovorax sp. (strain JS42)	513	Glycosyltransferase;Transferase
A1WHV5	LPXB_VEREI	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB Veis_1451	Verminephrobacter eiseniae (strain EF01-2)	389	Glycosyltransferase;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Reference proteome;Transferase
A1WW18	GLGA_HALHL	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA Hhal_1104	Halorhodospira halophila (strain DSM 244 / SL1) (Ectothiorhodospira halophila (strain DSM 244 / SL1))	477	Glycogen biosynthesis;Glycosyltransferase;Reference proteome;Transferase
A1WYT2	TRPD_HALHL	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD Hhal_2080	Halorhodospira halophila (strain DSM 244 / SL1) (Ectothiorhodospira halophila (strain DSM 244 / SL1))	342	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Reference proteome;Transferase;Tryptophan biosynthesis
A1WYW5	HIS1_HALHL	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG Hhal_2113	Halorhodospira halophila (strain DSM 244 / SL1) (Ectothiorhodospira halophila (strain DSM 244 / SL1))	214	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Reference proteome;Transferase
A2BQ41	HIS1_PROMS	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG A9601_06161	Prochlorococcus marinus (strain AS9601)	212	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Transferase
A2BQ90	GLGA_PROMS	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA A9601_06651	Prochlorococcus marinus (strain AS9601)	483	Glycogen biosynthesis;Glycosyltransferase;Transferase
A2BQY1	TRPD_PROMS	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD A9601_09081	Prochlorococcus marinus (strain AS9601)	344	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Transferase;Tryptophan biosynthesis
A2BUQ6	PYRE_PROM5	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE P9515_03081	Prochlorococcus marinus (strain MIT 9515)	192	Glycosyltransferase;Magnesium;Pyrimidine biosynthesis;Transferase
A2BVM2	HIS1_PROM5	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG P9515_06241	Prochlorococcus marinus (strain MIT 9515)	212	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Transferase
A2BVS2	GLGA_PROM5	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA P9515_06741	Prochlorococcus marinus (strain MIT 9515)	483	Glycogen biosynthesis;Glycosyltransferase;Transferase
A2C0A9	PYRE_PROM1	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE NATL1_03551	Prochlorococcus marinus (strain NATL1A)	193	Glycosyltransferase;Magnesium;Pyrimidine biosynthesis;Transferase
A2C117	HIS1_PROM1	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG NATL1_06151	Prochlorococcus marinus (strain NATL1A)	220	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Transferase
A2C167	GLGA_PROM1	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA NATL1_06651	Prochlorococcus marinus (strain NATL1A)	487	Glycogen biosynthesis;Glycosyltransferase;Transferase
A2C1X5	TRPD_PROM1	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD NATL1_09271	Prochlorococcus marinus (strain NATL1A)	345	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Transferase;Tryptophan biosynthesis
A2C745	LPXB_PROM3	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB P9303_05531	Prochlorococcus marinus (strain MIT 9303)	392	Glycosyltransferase;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Transferase
A2CCL7	PYRE_PROM3	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE P9303_24961	Prochlorococcus marinus (strain MIT 9303)	196	Glycosyltransferase;Magnesium;Pyrimidine biosynthesis;Transferase
A2RF04	PYRE_STRPG	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE SpyM51104	Streptococcus pyogenes serotype M5 (strain Manfredo)	209	Glycosyltransferase;Magnesium;Pyrimidine biosynthesis;Transferase
A2RF64	PYRR_STRPG	Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]	pyrR SpyM51168	Streptococcus pyogenes serotype M5 (strain Manfredo)	173	Glycosyltransferase;RNA-binding;Transcription;Transcription regulation;Transcription termination;Transferase
A2RKS3	HIS1_LACLM	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG llmg_1296	Lactococcus lactis subsp. cremoris (strain MG1363)	208	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Transferase
A2RYI2	TRPD_BURM9	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD BMA10229_0942	Burkholderia mallei (strain NCTC 10229)	343	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Transferase;Tryptophan biosynthesis
A2S6D4	APT_BURM9	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt BMA10229_A1521	Burkholderia mallei (strain NCTC 10229)	206	Cytoplasm;Glycosyltransferase;Purine salvage;Transferase
A2S747	HIS1_BURM9	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG BMA10229_A1787	Burkholderia mallei (strain NCTC 10229)	218	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Transferase
A2SB86	LPXB_BURM9	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB BMA10229_A3269	Burkholderia mallei (strain NCTC 10229)	388	Glycosyltransferase;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Transferase
A2SE03	HIS1_METPP	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG Mpe_A0830	Methylibium petroleiphilum (strain ATCC BAA-1232 / LMG 22953 / PM1)	214	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Reference proteome;Transferase
A2SLH5	TRPD_METPP	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD Mpe_A3461	Methylibium petroleiphilum (strain ATCC BAA-1232 / LMG 22953 / PM1)	344	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Reference proteome;Transferase;Tryptophan biosynthesis
A2WX64	STLP1_ORYSI	Sialyltransferase-like protein 1 (EC 2.4.99.-)	STLP1 OsI_04506	Oryza sativa subsp. indica (Rice)	393	Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
A2XVC2	STLP3_ORYSI	Sialyltransferase-like protein 3 (EC 2.4.99.-)	STLP3 OsI_16563 OSIGBa0145C12.8 OSIGBa0157A06.1	Oryza sativa subsp. indica (Rice)	384	Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
A2YTP9	MGDG2_ORYSI	Probable monogalactosyldiacylglycerol synthase 2, chloroplastic (OsMGD2) (EC 2.4.1.46)	MGD2 OsI_027692	Oryza sativa subsp. indica (Rice)	469	Chloroplast;Glycosyltransferase;Membrane;Plastid;Reference proteome;Transferase;Transit peptide
A2ZF66	GT6_ORYSI	Probable glycosyltransferase 6 (EC 2.4.-.-)	GT6 OsI_36429	Oryza sativa subsp. indica (Rice)	483	Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
A2ZI41	STLP2_ORYSI	Sialyltransferase-like protein 2 (EC 2.4.-.-)	STLP2 OsI_37484	Oryza sativa subsp. indica (Rice)	396	Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
A3CM04	GLGA_STRSV	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA SSA_0778	Streptococcus sanguinis (strain SK36)	476	Glycogen biosynthesis;Glycosyltransferase;Reference proteome;Transferase
A3CNI9	PYRR_STRSV	Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]	pyrR SSA_1345	Streptococcus sanguinis (strain SK36)	172	Glycosyltransferase;Reference proteome;RNA-binding;Transcription;Transcription regulation;Transcription termination;Transferase
A3CNT5	HIS1_STRSV	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG SSA_1447	Streptococcus sanguinis (strain SK36)	214	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Reference proteome;Transferase
A3D3U0	OPGH_SHEB5	Glucans biosynthesis glucosyltransferase H (EC 2.4.1.-)	opgH Sbal_1897	Shewanella baltica (strain OS155 / ATCC BAA-1091)	727	Cell inner membrane;Cell membrane;Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
A3D628	TRPD_SHEB5	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD Sbal_2703	Shewanella baltica (strain OS155 / ATCC BAA-1091)	357	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Reference proteome;Transferase;Tryptophan biosynthesis
A3D7X8	COBT_SHEB5	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)	cobT Sbal_3364	Shewanella baltica (strain OS155 / ATCC BAA-1091)	360	Cobalamin biosynthesis;Glycosyltransferase;Reference proteome;Transferase
A3DE09	PYRR_ACET2	Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]	pyrR Cthe_0954	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum)	184	Glycosyltransferase;Reference proteome;RNA-binding;Transcription;Transcription regulation;Transcription termination;Transferase
A3DF00	COBT_ACET2	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)	cobT Cthe_1297	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum)	351	Cobalamin biosynthesis;Glycosyltransferase;Reference proteome;Transferase
A3DJF0	HIS1_ACET2	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG Cthe_2881	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum)	213	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Reference proteome;Transferase
A3M784	TRPD_ACIBT	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD A1S_2359	Acinetobacter baumannii (strain ATCC 17978 / DSM 105126 / CIP 53.77 / LMG 1025 / NCDC KC755 / 5377)	349	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Transferase;Tryptophan biosynthesis
A3MAQ6	TYPH_BURM7	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)	deoA BMA10247_A0136	Burkholderia mallei (strain NCTC 10247)	440	Glycosyltransferase;Transferase
A3MFQ3	TRPD_BURM7	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD BMA10247_A1912	Burkholderia mallei (strain NCTC 10247)	343	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Transferase;Tryptophan biosynthesis
A3MKS9	LPXB_BURM7	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB BMA10247_1314	Burkholderia mallei (strain NCTC 10247)	388	Glycosyltransferase;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Transferase
A3MPV1	HIS1_BURM7	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG BMA10247_2766	Burkholderia mallei (strain NCTC 10247)	218	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Transferase
A3MY79	LPXB_ACTP2	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB APL_0007	Actinobacillus pleuropneumoniae serotype 5b (strain L20)	393	Glycosyltransferase;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Transferase
A3MYY8	APT_ACTP2	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt APL_0266	Actinobacillus pleuropneumoniae serotype 5b (strain L20)	179	Cytoplasm;Glycosyltransferase;Purine salvage;Transferase
A3MZ67	GLGA_ACTP2	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA APL_0349	Actinobacillus pleuropneumoniae serotype 5b (strain L20)	478	Glycogen biosynthesis;Glycosyltransferase;Transferase
A3MZB9	PYRR_ACTP2	Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]	pyrR APL_0401	Actinobacillus pleuropneumoniae serotype 5b (strain L20)	179	Glycosyltransferase;Transcription;Transcription regulation;Transferase
A3N2T3	NGT_ACTP2	UDP-glucose:protein N-beta-glucosyltransferase (UDP-Glc:protein N-glucosyltransferase) (EC 2.4.1.-) (HMW1C-like protein) (N-glycosyltransferase) (NGT)	APL_1635	Actinobacillus pleuropneumoniae serotype 5b (strain L20)	620	3D-structure;Cytoplasm;Glycosyltransferase;Transferase
A3NAT4	LPXB_BURP6	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB BURPS668_2423	Burkholderia pseudomallei (strain 668)	388	Glycosyltransferase;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Transferase
A3NDZ2	TRPD_BURP6	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD BURPS668_3558	Burkholderia pseudomallei (strain 668)	343	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Transferase;Tryptophan biosynthesis
A3NEA0	HIS1_BURP6	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG BURPS668_3667	Burkholderia pseudomallei (strain 668)	218	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Transferase
A3NN77	TYPH_BURP6	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)	deoA BURPS668_A2806	Burkholderia pseudomallei (strain 668)	440	Glycosyltransferase;Transferase
A3NWL7	LPXB_BURP0	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB BURPS1106A_2479	Burkholderia pseudomallei (strain 1106a)	388	Glycosyltransferase;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Transferase
A3NZP5	TRPD_BURP0	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD BURPS1106A_3585	Burkholderia pseudomallei (strain 1106a)	343	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Transferase;Tryptophan biosynthesis
A3P034	HIS1_BURP0	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG BURPS1106A_3725	Burkholderia pseudomallei (strain 1106a)	218	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Transferase
A3P8N2	TYPH_BURP0	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)	deoA BURPS1106A_A2662	Burkholderia pseudomallei (strain 1106a)	440	Glycosyltransferase;Transferase
A3PBT4	HIS1_PROM0	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG P9301_05861	Prochlorococcus marinus (strain MIT 9301)	212	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Reference proteome;Transferase
A3PBY3	GLGA_PROM0	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA P9301_06351	Prochlorococcus marinus (strain MIT 9301)	483	Glycogen biosynthesis;Glycosyltransferase;Reference proteome;Transferase
A3PCQ4	TRPD_PROM0	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD P9301_09061	Prochlorococcus marinus (strain MIT 9301)	344	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Reference proteome;Transferase;Tryptophan biosynthesis
A3PH80	PYRE_CERS1	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE Rsph17029_0580	Cereibacter sphaeroides (strain ATCC 17029 / ATH 2.4.9) (Rhodobacter sphaeroides)	232	Glycosyltransferase;Magnesium;Pyrimidine biosynthesis;Transferase
A3PHK8	TRPD_CERS1	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD Rsph17029_0711	Cereibacter sphaeroides (strain ATCC 17029 / ATH 2.4.9) (Rhodobacter sphaeroides)	338	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Transferase;Tryptophan biosynthesis
A3PIN5	COBT_CERS1	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)	cobT Rsph17029_1091	Cereibacter sphaeroides (strain ATCC 17029 / ATH 2.4.9) (Rhodobacter sphaeroides)	338	Cobalamin biosynthesis;Glycosyltransferase;Transferase
A3PU84	MSHA_MYCSJ	D-inositol 3-phosphate glycosyltransferase (EC 2.4.1.250) (N-acetylglucosamine-inositol-phosphate N-acetylglucosaminyltransferase) (GlcNAc-Ins-P N-acetylglucosaminyltransferase)	mshA Mjls_0650	Mycobacterium sp. (strain JLS)	439	Glycosyltransferase;Magnesium;Metal-binding;Transferase
A3Q1Q2	TRPD_MYCSJ	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD Mjls_3301	Mycobacterium sp. (strain JLS)	357	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Transferase;Tryptophan biosynthesis
A3QAT8	COBT_SHELP	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)	cobT Shew_0714	Shewanella loihica (strain ATCC BAA-1088 / PV-4)	342	Cobalamin biosynthesis;Glycosyltransferase;Reference proteome;Transferase
A3QF71	TRPD_SHELP	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD Shew_2253	Shewanella loihica (strain ATCC BAA-1088 / PV-4)	349	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Reference proteome;Transferase;Tryptophan biosynthesis
A3QG90	LPXB_SHELP	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB Shew_2622	Shewanella loihica (strain ATCC BAA-1088 / PV-4)	382	Glycosyltransferase;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Reference proteome;Transferase
A4FAC5	TRPD_SACEN	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD SACE_1681	Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338)	351	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Reference proteome;Transferase;Tryptophan biosynthesis
A4FQ08	MSHA_SACEN	D-inositol 3-phosphate glycosyltransferase (EC 2.4.1.250) (N-acetylglucosamine-inositol-phosphate N-acetylglucosaminyltransferase) (GlcNAc-Ins-P N-acetylglucosaminyltransferase)	mshA SACE_6971	Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338)	433	Glycosyltransferase;Magnesium;Metal-binding;Reference proteome;Transferase
A4FUP9	GL1D1_MOUSE	Glycosyltransferase 1 domain-containing protein 1 (EC 2.4.-.-)	Glt1d1	Mus musculus (Mouse)	346	Alternative splicing;Glycosyltransferase;Reference proteome;Secreted;Signal;Transferase
A4G1P5	TRPD_HERAR	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD HEAR0198	Herminiimonas arsenicoxydans	345	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Reference proteome;Transferase;Tryptophan biosynthesis
A4G9J2	HIS1_HERAR	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG HEAR3070	Herminiimonas arsenicoxydans	225	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Nucleotide-binding;Reference proteome;Transferase
A4IM28	PYRR_GEOTN	Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]	pyrR GTNG_1004	Geobacillus thermodenitrificans (strain NG80-2)	179	Glycosyltransferase;RNA-binding;Transcription;Transcription regulation;Transcription termination;Transferase
A4IQ85	TRPD_GEOTN	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD GTNG_2137	Geobacillus thermodenitrificans (strain NG80-2)	339	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Transferase;Tryptophan biosynthesis
